session_t,hand,wrist_x,wrist_y,hand_scale,speed,seg_state,seg_buffered,curls,pose_best,pose_distance,pose_stable
33.664,1,1.04594,0.64288,0.25515,0.01538,WAITING,0,0.307|0.262|0.171|0.072,,inf,
33.842,1,1.04578,0.64427,0.25389,0.00551,WAITING,0,0.308|0.270|0.189|0.094,,inf,
33.936,1,1.04590,0.64435,0.25434,0.00055,WAITING,0,0.316|0.268|0.185|0.087,,inf,
34.027,1,1.04586,0.64473,0.25116,0.00153,WAITING,0,0.323|0.266|0.174|0.070,,inf,
34.158,1,1.04421,0.64346,0.24679,0.00845,WAITING,0,0.324|0.274|0.186|0.076,,inf,
34.266,1,1.04261,0.64220,0.24559,0.00832,WAITING,0,0.332|0.283|0.194|0.083,,inf,
34.357,1,1.04402,0.64144,0.24946,0.00642,WAITING,0,0.312|0.266|0.180|0.076,,inf,
34.507,1,1.04414,0.64374,0.24957,0.00921,WAITING,0,0.324|0.276|0.195|0.090,,inf,
34.669,1,1.04528,0.64357,0.24729,0.00469,WAITING,0,0.323|0.275|0.186|0.079,,inf,
34.767,1,1.04596,0.64495,0.25164,0.00609,WAITING,0,0.307|0.264|0.178|0.076,,inf,
34.849,1,1.04575,0.64548,0.25143,0.00227,WAITING,0,0.325|0.271|0.188|0.090,,inf,
35.021,1,1.04789,0.64702,0.25564,0.01032,WAITING,0,0.338|0.287|0.201|0.089,,inf,
35.116,1,1.04718,0.64724,0.25113,0.00294,WAITING,0,0.301|0.254|0.172|0.067,,inf,
35.191,1,1.04691,0.64797,0.24415,0.00319,WAITING,0,0.351|0.311|0.228|0.117,,inf,
35.289,1,1.04537,0.65041,0.24875,0.01160,WAITING,0,0.314|0.281|0.202|0.097,,inf,
35.461,1,1.04407,0.65227,0.24276,0.00937,WAITING,0,0.333|0.301|0.220|0.119,,inf,
35.554,1,1.04347,0.65180,0.24433,0.00309,WAITING,0,0.344|0.310|0.224|0.125,,inf,
35.635,1,1.04396,0.65224,0.24738,0.00264,WAITING,0,0.343|0.311|0.229|0.118,,inf,
35.845,1,1.04287,0.65483,0.24659,0.01139,WAITING,0,0.317|0.292|0.206|0.095,,inf,
35.966,1,1.04475,0.65400,0.24959,0.00822,WAITING,0,0.352|0.322|0.237|0.127,,inf,
36.087,1,1.04163,0.65236,0.23561,0.01495,WAITING,0,0.353|0.320|0.238|0.148,,inf,
36.255,1,1.04010,0.65207,0.24257,0.00646,WAITING,0,0.338|0.311|0.227|0.122,,inf,
36.349,1,1.03994,0.65052,0.23668,0.00661,WAITING,0,0.333|0.291|0.204|0.101,,inf,
36.453,1,1.04295,0.65201,0.24484,0.01375,WAITING,0,0.343|0.313|0.223|0.109,,inf,
36.634,1,1.04529,0.65673,0.25077,0.02102,WAITING,0,0.307|0.285|0.198|0.094,,inf,
36.737,1,1.04671,0.65425,0.24627,0.01159,WAITING,0,0.339|0.310|0.227|0.130,,inf,
36.835,1,1.04573,0.65721,0.24600,0.01266,WAITING,0,0.321|0.306|0.212|0.102,,inf,
36.990,1,1.04497,0.65556,0.24541,0.00739,WAITING,0,0.339|0.298|0.209|0.106,,inf,
37.082,1,1.04450,0.65500,0.24589,0.00297,WAITING,0,0.342|0.320|0.231|0.129,,inf,
37.166,1,1.04345,0.65947,0.23522,0.01952,WAITING,0,0.494|0.460|0.362|0.196,,inf,
37.252,1,1.02189,0.69964,0.29675,0.15363,WAITING,0,0.511|0.565|0.514|0.418,,inf,
38.089,1,0.99351,0.74100,0.26249,0.19108,IN_MOTION,4,0.208|0.284|0.319|0.305,,inf,
38.236,1,0.98897,0.76959,0.24691,0.11725,IN_MOTION,5,0.168|0.235|0.313|0.293,,inf,
38.299,1,1.01565,0.77994,0.24792,0.11541,IN_MOTION,6,0.185|0.246|0.297|0.267,,inf,
38.355,1,1.02803,0.78700,0.25213,0.05651,IN_MOTION,7,0.181|0.223|0.283|0.253,,inf,
38.421,1,1.03784,0.79162,0.25605,0.04237,IN_MOTION,8,0.178|0.225|0.288|0.265,,inf,
38.500,1,1.04211,0.79366,0.25676,0.01843,IN_MOTION,9,0.191|0.225|0.287|0.257,,inf,
38.571,1,1.04457,0.79228,0.24998,0.01131,IN_MOTION,10,0.187|0.248|0.308|0.290,,inf,
38.635,1,1.04802,0.79282,0.25458,0.01371,IN_MOTION,11,0.183|0.229|0.283|0.266,,inf,
38.699,1,1.04851,0.79237,0.25311,0.00263,IN_MOTION,12,0.185|0.236|0.297|0.271,,inf,
38.763,1,1.04966,0.79418,0.25429,0.00843,WAITING,0,0.177|0.230|0.296|0.249,,inf,
38.976,1,1.05051,0.79691,0.25879,0.01104,WAITING,0,0.174|0.226|0.293|0.257,,inf,
39.164,1,1.04903,0.79870,0.26007,0.00892,WAITING,0,0.176|0.220|0.282|0.255,,inf,
39.231,1,1.04903,0.80127,0.25986,0.00991,WAITING,0,0.165|0.208|0.258|0.250,,inf,
39.385,1,1.04138,0.79200,0.25619,0.04691,WAITING,0,0.077|0.136|0.183|0.166,,inf,
39.483,1,1.04245,0.79907,0.30311,0.02359,WAITING,0,0.431|0.467|0.398|0.392,,inf,
39.577,1,1.04076,0.79857,0.29899,0.00589,WAITING,0,0.123|0.152|0.209|0.275,,inf,
39.640,1,1.04037,0.80240,0.26987,0.01427,WAITING,0,0.125|0.065|0.201|0.178,,inf,
39.792,1,1.04232,0.80420,0.25908,0.01023,WAITING,0,0.156|0.160|0.264|0.210,,inf,
39.916,1,1.04627,0.80383,0.25783,0.01540,WAITING,0,0.174|0.210|0.294|0.201,,inf,
40.018,1,1.04753,0.80205,0.25825,0.00845,WAITING,0,0.175|0.230|0.309|0.213,,inf,
40.149,1,1.04862,0.80103,0.25543,0.00584,WAITING,0,0.153|0.207|0.290|0.187,,inf,
40.253,1,1.04947,0.80119,0.25510,0.00343,WAITING,0,0.174|0.222|0.280|0.185,,inf,
