wall_time,session_t,mode,source,outcome,gesture,distance,threshold,threshold_source,runner_up,runner_up_distance,margin_ratio,fired,key,detail,seg_frames,seg_duration,seg_peak_speed,seg_mean_speed,seg_close_reason,session_label
1788752652.735,76.389,LIVE,trajectory,accepted,swipe_right,0.1291,0.6000,calibrated(3 samples),swipe_left,0.3524,0.3662,True,right,"DRY RUN, would press right",26,1.680,1.0377,0.2007,still,
1788752681.247,18.950,LIVE,trajectory,accepted,swipe_right,0.1196,0.6000,calibrated(3 samples),swipe_left,0.3392,0.3526,True,right,pressed right,26,1.695,0.9183,0.1915,still,
1788752684.001,21.704,LIVE,trajectory,accepted,swipe_right,0.3934,0.6000,calibrated(3 samples),swipe_left,0.5328,0.7383,True,right,pressed right,32,2.335,1.8722,0.2582,still,
1788752685.131,22.834,LIVE,trajectory,segment_rejected,,,,,,,,,,path_too_small(0.36<0.55),4,0.669,0.2424,0.0943,hand_lost,
1788752688.670,26.373,LIVE,trajectory,accepted,swipe_right,0.5271,0.6000,calibrated(3 samples),swipe_left,0.8141,0.6475,True,right,pressed right,30,2.723,1.1765,0.1789,hand_lost,
1788752690.800,28.503,LIVE,trajectory,rejected,swipe_right,0.5993,0.6000,calibrated(3 samples),swipe_left,0.6453,0.9286,False,,ambiguous vs swipe_left (ratio 0.93 > 0.80),32,2.068,1.3390,0.2219,still,
1788752692.068,29.771,LIVE,trajectory,segment_rejected,,,,,,,,,,path_too_small(0.26<0.55),4,0.672,0.1340,0.0706,hand_lost,
1788752694.598,32.301,LIVE,trajectory,rejected,swipe_right,0.5815,0.6000,calibrated(3 samples),swipe_left,0.6123,0.9497,False,,ambiguous vs swipe_left (ratio 0.95 > 0.80),28,2.255,0.9209,0.1872,hand_lost,
1788752701.855,39.558,LIVE,trajectory,accepted,swipe_right,0.3526,0.6000,calibrated(3 samples),swipe_left,0.4869,0.7242,True,right,pressed right,12,1.209,0.3902,0.1692,hand_lost,
1788752703.795,41.498,LIVE,trajectory,accepted,swipe_right,0.2714,0.6000,calibrated(3 samples),swipe_left,0.4027,0.6740,True,right,pressed right,8,0.937,0.4129,0.1966,hand_lost,
1788752705.659,43.362,LIVE,trajectory,accepted,swipe_right,0.1457,0.6000,calibrated(3 samples),swipe_left,0.2842,0.5127,True,right,pressed right,9,1.001,0.4812,0.2261,hand_lost,
1788752707.858,45.561,LIVE,trajectory,accepted,swipe_right,0.0795,0.6000,calibrated(3 samples),swipe_left,0.3206,0.2480,True,right,pressed right,22,1.526,0.7607,0.1978,still,
1788752708.877,46.580,LIVE,trajectory,segment_rejected,,,,,,,,,,path_too_small(0.23<0.55),4,0.723,0.1604,0.0582,hand_lost,
1788752715.371,53.075,LIVE,trajectory,segment_rejected,,,,,,,,,,too_short(3f<4f),3,1.263,1.1848,0.5598,hand_lost,
1788752780.990,11.409,LIVE,trajectory,accepted,swipe_left,0.2743,0.6000,calibrated(3 samples),swipe_right,0.5031,0.5452,True,left,"DRY RUN, would press left",31,2.063,1.2100,0.2043,still,
